brand2,raw_model,model2
AION,AION UT 420 STANDARD,AION UT
AION,AION UT 500 PREMIUM,AION UT
AION,AION V 500 PREMIUM,AION V
AION,AION V 505 PREMIUM,AION V
AION,AION V 602 LUXURY,AION V
AION,AION Y PLUS,AION Y
AION,AION Y PLUS 410 PREMIUM,AION Y
AION,AION Y PLUS 490 PREMIUM,AION Y
AION,HYPTEC HT 620 LUXURY,HYPTEC HT
AION,HYPTEC HT 620 PREMIUM,HYPTEC HT
AION,HYPTEC SSR,HYPTEC HT
AION,M8 PHEV PREMIUM,M8
AVATR,AVATR 07 MAX,AVATR 07
AVATR,AVATR 07 ULTRA AWD,AVATR 07
AVATR,AVATR 11 LONG RANGE,AVATR 11
AVATR,AVATR 11 ROYAL EDITION,AVATR 11
AVATR,AVATR 11 STANDARD RANGE,AVATR 11
BYD,ATTO 3 (480KM-ER),BYD ATTO 3
BYD,BYD ATTO 1 PREMIUM,BYD ATTO 1
BYD,BYD ATTO 2 DYNAMIC,BYD ATTO 2
BYD,BYD ATTO 2 PREMIUM,BYD ATTO 2
BYD,BYD ATTO 3 (410KM),BYD ATTO 3
BYD,BYD ATTO3 (410KM-DYNAMIC),BYD ATTO 3
BYD,BYD ATTO3 (410KM-PREMIUM),BYD ATTO 3
BYD,BYD ATTO3 (480KM-EXT),BYD ATTO 3
BYD,BYD DOLPHIN (435KM-STD),BYD DOLPHIN
BYD,BYD DOLPHIN (490KM-EXT),BYD DOLPHIN
BYD,BYD DOLPHIN EXD,BYD DOLPHIN
BYD,BYD DOLPHIN STD,BYD DOLPHIN
BYD,BYD M6 DYNAMIC,BYD M6
BYD,BYD M6 EXTENDED,BYD M6
BYD,BYD SEAL 5 DM-I DYNAMIC,BYD SEAL 5 DM-i
BYD,BYD SEAL 5 DM-I PREMIUM,BYD SEAL 5 DM-i
BYD,BYD SEAL 5 DM-I STANDARD,BYD SEAL 5 DM-i
BYD,BYD SEAL 6 DYNAMIC,BYD SEAL 6
BYD,BYD SEAL 6 PREMIUM,BYD SEAL 6
BYD,BYD SEAL EXD AWD,BYD SEAL
BYD,BYD SEAL EXD RWD,BYD SEAL
BYD,BYD SEAL STD RWD,BYD SEAL
BYD,BYD SEAL U (DMI-PREMIUM),BYD SEAL
BYD,BYD SEALION 6 DM-I DYNAMIC,BYD SEALION 6
BYD,BYD SEALION 6 DM-I PREMIUM,BYD SEALION 6
BYD,BYD SEALION 7 AWD,BYD SEALION 7
BYD,BYD SEALION 7 RWD,BYD SEALION 7
BYD,DOLPHIN (490KM),BYD DOLPHIN
BYD,DOLPHIN FREEDOM,BYD DOLPHIN
BYD,M6 EXTENDED,BYD M6
BYD,SEAL AWD PERFORMANCE,BYD SEAL
BYD,SEALION 6 DM-I,BYD SEALION 6
CHERY,TIGGO8 PHEV 2WD ESTEEM,TIGGO8 PHEV
CHERY,TIGGO8 PHEV 4WD ELITE,TIGGO8 PHEV
CHERY,V23 2WD PLAY,V23
CHERY,V23 2WD PLUS,V23
CHERY,V23 4WD PEAK,V23
DEEPAL + CHANGAN,DEEPAL L07,L07
DEEPAL + CHANGAN,DEEPAL S07,S07
DEEPAL + CHANGAN,E07 PERFORMANCE AWD,E07
DEEPAL + CHANGAN,E07 PLUS,E07
DEEPAL + CHANGAN,L07 S,L07
DEEPAL + CHANGAN,LUMIN L DC,LUMIN
DEEPAL + CHANGAN,S05 MAX,S05 BEV
DEEPAL + CHANGAN,S05 MAX LONG RANGE,S05 BEV
DEEPAL + CHANGAN,S05 PLUS,S05 BEV
DEEPAL + CHANGAN,S05 REEV MAX,S05 REEV
DEEPAL + CHANGAN,S07 L,S07
DEEPAL + CHANGAN,STAR TRUCK 1.0 5MT,STAR TRUCK
DEEPAL + CHANGAN,STAR TRUCK 1.3 5MT,STAR TRUCK
DENZA,DENZA D9 AWD,DENZA D9
DENZA,DENZA D9 FWD,DENZA D9
GWM,GRAND CAT,ORA 07
HONDA,CLICK150I,CLICK 150i
HONDA,PCX150,PCX 150
HONDA,STEPWGN E:HEV AIR,STEP WGN e-HEV AIR
HONDA,STEPWGN E:HEV SPADA,STEP WGN e-HEV SPADA
HONDA,STEPWGN E:HEV SPADA G EX,STEP WGN e-HEV SPADA G EX
