fuel,powertrain
CNG,ICE
CNG-LPG,ICE
CNG-LPG-ดีเซล,ICE
CNG-LPG-เบนซิน,ICE
CNG-ดีเซล,ICE
CNG-ดีเซล-ไฟฟ้า,HEV
CNG-ดีเซล-ไฟฟ้าแบบเสียบปลั๊ก,PHEV
CNG-เบนซิน,ICE
CNG-เบนซิน-ไฟฟ้า,HEV
CNG-เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก,PHEV
LNG,ICE
LNG-ดีเซล,ICE
LPG-ดีเซล-ไฟฟ้า,HEV
LPG-ดีเซล-ไฟฟ้าแบบเสียบปลั๊ก,PHEV
LPG-เบนซิน-ไฟฟ้า,HEV
LPG-เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก,PHEV
LPGและดีเซล,ICE
LPGและเบนซิน,ICE
ก๊าซ LPG,ICE
ดีเซล,ICE
ดีเซล-ไฟฟ้า,HEV
ดีเซล-ไฟฟ้าแบบเสียบปลั๊ก,PHEV
เชื้อเพลิงอื่น ๆ,N/A
เบนซิน,ICE
เบนซิน-E20,ICE
เบนซิน-เอทานอล,ICE
เบนซิน-ไฟฟ้า,HEV
เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก,PHEV
ไฟฟ้า,BEV
ไม่ระบุ,N/A
ไม่ใช้เชื้อเพลิง,N/A
ไฮโดรเจน,ICE
