Brand,รุ่นรถ,รุ่นรถ2,Powertrain,include_in_bev_model_report
AION,AION ES,AION ES,BEV Major,true
AION,AION UT 420 STANDARD,AION UT,BEV Major,true
AION,AION UT 500 PREMIUM,AION UT,BEV Major,true
AION,AION V 500 PREMIUM,AION V,BEV Major,true
AION,AION V 505 PREMIUM,AION V,BEV Major,true
AION,AION V 602 LUXURY,AION V,BEV Major,true
AION,AION Y PLUS,AION Y,BEV Major,true
AION,AION Y PLUS 410 PREMIUM,AION Y,BEV Major,true
AION,AION Y PLUS 490 PREMIUM,AION Y,BEV Major,true
AION,HYPTEC HT 620 LUXURY,HYPTEC HT,BEV Major,true
AION,HYPTEC HT 620 PREMIUM,HYPTEC HT,BEV Major,true
AION,HYPTEC SSR,HYPTEC HT,BEV Major,true
GAC,AION S,AION S,BEV Major,true
GAC,M8 PHEV PREMIUM,M8,OTH,false
AVATR,AVATR 07 MAX,AVATR 07,BEV Major,true
AVATR,AVATR 07 ULTRA AWD,AVATR 07,BEV Major,true
AVATR,AVATR 11 ROYAL EDITION,AVATR 11,BEV Major,true
AVATR,AVATR 11 LONG RANGE,AVATR 11,BEV Major,true
AVATR,AVATR 11 STANDARD RANGE,AVATR 11,BEV Major,true
BYD,BYD ATTO 1 PREMIUM,BYD ATTO 1,BEV Major,true
BYD,BYD ATTO 1 DYNAMIC,BYD ATTO 1,BEV Major,true
BYD,BYD ATTO 2 PREMIUM,BYD ATTO 2,BEV Major,true
BYD,BYD ATTO 2 DYNAMIC,BYD ATTO 2,BEV Major,true
BYD,BYD ATTO 3,BYD ATTO 3,BEV Major,true
BYD,BYD ATTO 3 (410KM),BYD ATTO 3,BEV Major,true
BYD,BYD ATTO3 (410KM-DYNAMIC),BYD ATTO 3,BEV Major,true
BYD,BYD ATTO3 (410KM-PREMIUM),BYD ATTO 3,BEV Major,true
BYD,BYD ATTO3 (480KM-EXT),BYD ATTO 3,BEV Major,true
BYD,BYD DOLPHIN (435KM-STD),BYD DOLPHIN,BEV Major,true
BYD,BYD DOLPHIN (490KM-EXT),BYD DOLPHIN,BEV Major,true
BYD,BYD DOLPHIN EXD,BYD DOLPHIN,BEV Major,true
BYD,BYD DOLPHIN STD,BYD DOLPHIN,BEV Major,true
BYD,BYD M6 DYNAMIC,BYD M6,BEV Major,true
BYD,BYD M6 EXTENDED,BYD M6,BEV Major,true
