canonical_brand,raw_series,canonical_series,powertrain,review_status,evidence,reviewer,reviewed_at
ABARTH,500E,500e,N/A,unreviewed,,,
ABARTH,595 COMPETIZIONE,595 COMPETIZIONE,N/A,unreviewed,,,
AICHI,UJ027,UJ027,N/A,unreviewed,,,
AIMA,A500,A500,N/A,unreviewed,,,
AIMA,IN MINE,IN MINE,N/A,unreviewed,,,
AIMA,MAKARON,MAKARON,N/A,unreviewed,,,
AIMA,TIGER X6,TIGER X6,N/A,unreviewed,,,
AIMA,U1-2,U1-2,N/A,unreviewed,,,
AION,AION ES,AION ES,N/A,unreviewed,,,
AION,AION S,AION S,N/A,unreviewed,,,
AION,AION UT 420 STANDARD,AION UT,N/A,unreviewed,,,
AION,AION UT 500 PREMIUM,AION UT,N/A,unreviewed,,,
AION,AION V 500 PREMIUM,AION V,N/A,unreviewed,,,
AION,AION V 505 PREMIUM,AION V,N/A,unreviewed,,,
AION,AION V 602 LUXURY,AION V,N/A,unreviewed,,,
AION,AION Y PLUS,AION Y,N/A,unreviewed,,,
AION,AION Y PLUS 410 PREMIUM,AION Y,N/A,unreviewed,,,
AION,AION Y PLUS 490 PREMIUM,AION Y,N/A,unreviewed,,,
AION,HYPTEC HT 620 LUXURY,HYPTEC HT,N/A,unreviewed,,,
AION,HYPTEC HT 620 PREMIUM,HYPTEC HT,N/A,unreviewed,,,
AION,HYPTEC SSR,HYPTEC HT,N/A,unreviewed,,,
AION,M8 PHEV PREMIUM,M8,N/A,unreviewed,,,
AIRMAN,AX45-2,AX45-2,N/A,unreviewed,,,
AIWAYS,U5 LITE SAMPLE,U5 LITE SAMPLE,N/A,unreviewed,,,
AIWAYS,U5 PRIME WITH,U5 PRIME WITH,N/A,unreviewed,,,
AIWAYS,U6,U6,N/A,unreviewed,,,
AJ,BEATS,BEATS,N/A,unreviewed,,,
AJ,C-LIKE,C-LIKE,N/A,unreviewed,,,
AJ,C-LION,C-LION,N/A,unreviewed,,,
AJ,GODDESS,GODDESS,N/A,unreviewed,,,
AJ,MINE PLUS,MINE PLUS,N/A,unreviewed,,,
AJ,NCV,NCV,N/A,unreviewed,,,
AJ,Q5,Q5,N/A,unreviewed,,,
AJ,RAYMAN,RAYMAN,N/A,unreviewed,,,
