0,1,2,3,4,5,6
สถิติการจดทะเบียนรถใหม่ ตามกฎหมายว่าด้วยรถยนต์ จำแนกตามยี่ห้อรถ ชนิดเชื้อเพลิง และจังหวัด,,,,,,
เดือนมกราคม ปี พ.ศ. 2564 - เดือนพฤษภาคม ปี พ.ศ. 2569,,,,,,
หน่วย: คัน ,,,,,,
ประมวลผลข้อมูล วันที่ 9 เดือนมิถุนายน ปี พ.ศ. 2569,,,,,,
หมายเหตุ: นับเฉพาะรถใหม่ ไม่รวมรถที่ใช้แล้วนำกลับมาจดทะเบียนใหม่ ,,,,,,
ปี,เดือน,ประเภทรถ,จังหวัด,ยี่ห้อรถ,ชนิดเชื้อเพลิง,จำนวนรถ
2564,มกราคม,รย.1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กรุงเทพมหานคร,ASTON MARTIN,เบนซิน,2
2564,มกราคม,รย.1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กรุงเทพมหานคร,AUDI,เบนซิน,52
2564,มกราคม,รย.1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กรุงเทพมหานคร,AUDI,ดีเซล,12
2564,มกราคม,รย.1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กรุงเทพมหานคร,AUDI,ไฟฟ้า,2
2564,มกราคม,รย.1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กรุงเทพมหานคร,AUDI,เบนซิน-ไฟฟ้า,49
2564,มกราคม,รย.1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กรุงเทพมหานคร,BENTLEY,เบนซิน,7
2564,มกราคม,รย.1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กรุงเทพมหานคร,BENTLEY,เบนซิน-ไฟฟ้า,4
2564,มกราคม,รย.1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กรุงเทพมหานคร,BENTLEY,เบนซิน-ไฟฟ้าแบบเสียบปลั๊ก,1
2564,มกราคม,รย.1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,กรุงเทพมหานคร,BENZ,เบนซิน,1
