รุ่นรถ_raw,รุ่นรถ2
-3C TH H NBK,-3C TH H NBK
001EV TUK TUK,001EV TUK TUK
002EV TUK TUK,002EV TUK TUK
003 EV DISABLED,003 EV DISABLED
003-1 TUK TUK,003-1 TUK TUK
003EV TUK TUK,003EV TUK TUK
003EV TUK TUK PICKUP,003EV TUK TUK PICKUP
003EV TUK TUK SCT,003EV TUK TUK SCT
004-1 TUK TUK,004-1 TUK TUK
004EV TUK TUK,004EV TUK TUK
005EV TUK TUK,005EV TUK TUK
040SU HILUG,040SU HILUG
08.83/SUPER 1603-2,08.83/SUPER 1603-2
08.83/SUPER 1803-2,08.83/SUPER 1803-2
082/SUPER 1800-1,082/SUPER 1800-1
09.11/S1303-2,09.11/S1303-2
09.11/SUPER 1303-2,09.11/SUPER 1303-2
0PC200-6,0PC200-6
0XENON,0XENON
1.5S TOURING,1.5S Touring
1.6G,1.6G
1.8E,1.8E
1.8ESPORT,1.8ESPORT
1.8V NAVI,1.8V Navi
1000C,1000C
1004,1004
101 SCOUT,101 SCOUT
105HP,105HP
1090 ADVENTURE,1090 Adventure
10HT,10HT
11 HT,11 HT
11.82/SUPER 1800-2,11.82/SUPER 1800-2
1107 EX-D,1107 EX-D
1107EX-D,1107EX-D
1107EX-PD,1107EX-PD
110HP,110HP
1110EX-D,1110EX-D
115HP,115HP
116D,116D
118D M SPORT HATCH MANUAL,118D M SPORT HATCH MANUAL
118I M SPORT,118i M Sport
1190 ADVENTURE R,1190 ADVENTURE R
12 HT,12 HT
120K,120K
125MINI,125MINI
128US-2,128US-2
1290 SUPER ADVENTURE,1290 SUPER ADVENTURE
1290 SUPER ADVENTURE R,1290 Super Adventure R
1290 SUPER ADVENTURE S,1290 Super Adventure S
1290 SUPER DUKE GT,1290 Super Duke GT
1290 SUPER DUKE R,1290 SUPER DUKE R
1299 SUPERLEGGERA,1299 SUPERLEGGERA
12B02,12B02
12CILINDRI,12Cilindri
12CILINDRI SPIDER,12Cilindri Spider
12G,12G
12H,12H
12HT,12HT
140,140
140G,140G
140G VHP,140G VHP
140GC,140GC
140H,140H
140H VHP,140H VHP
140H VHP PLUS,140H VHP PLUS
140K,140K
140M,140M
140M VHP,140M VHP
140M2 AWD,140M2 AWD
143H,143H
143H AWD,143H AWD
145HP,145HP
14H,14H
155,155
155HD,155HD
160H,160H
160H VHP,160H VHP
160H W RIPPER,160H W RIPPER
160M,160M
1704-4WD,1704-4WD
170I,170i
1800-2,1800-2
1820,1820
19S200,19S200
1P7700,1P7700
1P7B00,1P7B00
1V80,1V80
2.0G EXTREMO,2.0G Extremo
2.5 HV CD,2.5 HV CD
2.5 HV PREMIUM,2.5 HV Premium
2.5HV,2.5HV
2.7V A/T,2.7V A/T
2.7V NAVI,2.7V Navi
200 DUKE,200 DUKE
2000DC,2000DC
2008 P24 BG,2008 P24 BG
200VT0302CS,200VT0302CS
2050M,2050M
20B01,20B01
20B100,20B100
20B200,20B200
20B400,20B400
20B600,20B600
20JX,20JX
2100DC,2100DC
2121,2121
2124,2124
2127,2127
2130,2130
214,214
218I GRAN COUPE RHD,218i Gran Coupe RHD
220 GRAN COUPE M SPORT PR,220 Gran Coupe M Sport Pr
220I COUPE RHD,220I COUPE RHD
220I GRAN COUPE M SPORT,220i Gran Coupe M Sport
220I GRAN COUPE SPORT,220i Gran Coupe Sport
226B3,226B3
2401-S,2401-S
250 DUKE,250 DUKE
250/8,250/8
250NK,250NK
250NK ABS,250NK ABS
26,26
264GL,264GL
264GLE,264GLE
280GE,280GE
2850,2850
296 GTB,296 GTB
296 GTS,296 GTS
2DX,2DX
2P0800,2P0800
2P1200,2P1200
2P1400,2P1400
2S5600,2S5600
2S5A00,2S5A00
2S5B00,2S5B00
2SDT40,2SDT40
3.0V 4WD TRD,3.0V 4WD TRD
300 EXC SIX DAYS,300 EXC SIX DAYS
300 HYBRID,300 HYBRID
3000,3000
3000(4WD),3000(4WD)
3008 P84 AG,3008 P84 AG
3008 P84 BG,3008 P84 BG
300GD,300GD
300T,300T
3028EN,3028EN
302R,302R
303,303
303.5C,303.5C
303.5CCR,303.5CCR
303.5CR,303.5CR
303.5ECR,303.5ECR
3036E,3036E
3036EN,3036EN
303CCR,303CCR
303CR,303CR
303CSR,303CSR
303ECR,303ECR
303SR,303SR
304C,304C
304CCR,304CCR
304CR,304CR
304E,304E
305,305
305 SR,305 SR
305.5,305.5
305.5DCR,305.5DCR
305.5E,305.5E
305.5E2,305.5E2
305CCR,305CCR
305CR,305CR
305CR-2,305CR-2
305D,305D
305E,305E
305E2CR,305E2CR
305SR,305SR
306,306
306D,306D
306E,306E
306E2,306E2
307,307
307.5,307.5
307C,307C
307D,307D
307E,307E
308B,308B
308C,308C
308C CR,308C CR
308CCR,308CCR
308CSR,308CSR
308D,308D
308E,308E
308E2 CR,308E2 CR
308E2CR,308E2CR
308ECR,308ECR
311C,311C
311CU,311CU
311D,311D
311DRR,311DRR
311FLRR,311FLRR
312,312
312B,312B
312C,312C
312D,312D
312D2,312D2
312D2GC,312D2GC
312E,312E
312E-2,312E-2
312E-MS,312E-MS
312F,312F
312FGC,312FGC
3136,3136
